d1,d2,U,alpha,CL,CD,CM,dstar_s,dstar_s_band,dstar_p,dstar_p_band,H_s,H_p,theta_s,theta_p,bl_ok_s,bl_ok_p,reversed_s,reversed_p,drift_s,cells,iterations,case
0.0,0.0,55.0,11.82,1.3391376796750185,0.0146806901400836,-0.0032334897787282,0.0080526705141996,9.643364466282826e-06,0.0017654198344529,4.174841011805354e-06,1.8413463820515823,1.3820206699951698,0.0043689747998686,0.0012812252653218,True,True,0.0,0.0,0.0001755832389818,51552,20000,resweep/d+0_+0_a11.82
0.0,0.0,55.0,11.83,1.340255914584242,0.0146824154463561,-0.0033185155013031,0.0080672100023703,1.3689537163817656e-06,0.0017621787509702,1.6129047843237545e-06,1.841915141960207,1.3819791304990725,0.0043790081116576,0.0012745205825778,True,True,0.0,0.0,0.0010331312803827,51552,20000,resweep/d+0_+0_a11.83
0.0,0.0,55.0,12.0,1.359508017287563,0.0149235871333873,-0.0035346284279905,0.0081685646160489,4.744472490809601e-06,0.0017479024260898,1.072076883439901e-06,1.8483199069753249,1.3808260346821073,0.0044214064449352,0.0012652770118991,True,True,0.0,0.0,0.0015582660590316,51552,20000,resweep/d+0_+0_a12
5.0,0.0,55.0,2.89,0.6984636146318476,0.0110606503369144,-0.057531182918355,0.0051584762505757,7.224201752344551e-06,0.0022346340605069,7.572398629690849e-06,1.6792305345239569,1.379137423133965,0.0030759515940143,0.0016162383920266,True,True,0.0,0.0,0.0025780656515773,51611,20000,resweep/d+5_+0_a2.89
5.0,0.0,55.0,8.58,1.3402262481083025,0.0171209365350375,-0.0585445392447328,0.0085726579209085,1.096625145076413e-05,0.0016687339906689,4.474408323169518e-06,1.971704435185194,1.3546138543124235,0.0043424862761362,0.0012333981556308,True,True,0.0,0.0,-0.0018402464761689,51611,20000,resweep/d+5_+0_a8.58
5.0,5.0,55.0,0.77,0.7133976384378299,0.011118026929137,-0.1073624920831886,0.0064839151574339,6.198278408578537e-06,0.0023550891712165,6.766845092793551e-06,1.9020325990564972,1.3494894367631531,0.0034127255683269,0.0017409080691618,True,True,0.0,0.0,0.0006216616202013,55029,20000,resweep/d+5_+5_a0.77
5.0,5.0,55.0,6.42,1.3453506141570677,0.0159659170053313,-0.1057642242250407,0.0088374275816941,4.227187470840811e-06,0.0016208479404721,5.423466890066816e-06,2.1792728588838,1.3252844134073052,0.0040569051469591,0.001221573338748,True,True,0.0,0.0,-0.000324009004568,55029,20000,resweep/d+5_+5_a6.42
10.0,0.0,55.0,-0.08,0.7149090824527128,0.0119228179808749,-0.1117334670191447,0.0084206337991148,3.092070467450129e-06,0.0022234831579847,7.526605150658637e-06,2.0786380322989624,1.3455605878955623,0.0040500052559448,0.0016554600976568,True,True,0.0,0.0,-0.0005106659970469,53831,20000,resweep/d+10_+0_a-0.08
10.0,0.0,55.0,5.49,1.33661325521846,0.0185342826532074,-0.1114766460071465,0.0116040744183531,4.869020877798849e-06,0.0014500182316735,1.7395072662876275e-06,2.549541990655345,1.3240254471797104,0.0045545561066852,0.001093523257962,True,True,0.0,0.0,-0.0003636026387424,53831,20000,resweep/d+10_+0_a5.49
10.0,10.0,55.0,-3.63,0.7266956683011487,0.0170788871552137,-0.193702187107277,,,,,,,,,False,False,1.0,0.0,,53768,20000,resweep/d+10_+10_a-3.63
10.0,10.0,55.0,2.08,1.3528902928631823,0.0246234077667245,-0.1921721489469472,,,0.0012951159012948,3.412237119829013e-05,,1.267186929576607,,0.0009958188299536,False,True,1.0,0.0,,53768,5709,resweep/d+10_+10_a2.08
