seed,gust_amp,lift_bias,rate_scale,sigma_scale,delta,ebar,lag,nullrate,rate_max,rate_binds_pct,band_lost,jang,K_max
70,0.052243440975868305,0.23319703367534417,0.9356076239465569,1.2297677179489799,1.8296759350447835,0.23421434869465307,0.13014315096153778,0.0008798309198229718,1.1212628030138212,0.0,False,0.10360134261128548,0.8098738356755892
71,0.05606061685550227,-0.029247062642499794,1.1100755526330466,1.0542055693180448,3.7141282789872614,0.031093736596153332,0.21904670614524877,0.0034252263228875357,0.6126106722891957,0.0,False,0.057701949683316205,1.0504409349963653
72,0.06077096356694668,0.10207188514612782,0.9587174510721297,0.7615856306353456,2.247393840363974,0.1027932055026568,0.18420537893874703,0.006369213449289648,1.1011234784155282,12.578125000000002,False,0.07202682941876902,0.9111856267719186
73,0.03701685957084726,0.025180030579520132,1.278836210052643,1.2444158172663493,1.329352684943372,0.025851033565086556,0.13532862674488705,0.005121112224125239,0.6984543413667612,0.0,False,0.0765229252972071,0.6510317138752999
74,0.04410240316542753,0.11097263098849239,0.7574880228390214,0.7872513492691171,1.8800771128318823,0.11169977596013836,0.13724440059574117,0.0026493787646578735,1.2110859898246418,0.0,False,0.06109619864810778,0.7703992636058186
75,0.036563234077821874,-0.12211956785425583,1.1444322283149324,1.3383180954392098,1.9919548223845998,0.12317444841631497,0.198719838422788,0.004259299983215768,0.6393193422824432,0.0,False,0.060848693564170116,0.5811254088942083
76,0.06647268950787533,-0.021219948203606877,0.9231060297607945,1.225791643533134,3.61014344409383,0.022883831326537374,0.3722636199920251,0.0039528616429919065,0.6805139926318026,0.0,False,0.0669586007983086,1.0284255119291958
77,0.06711274947787356,0.015063727070566505,1.239812271200822,0.722201731699962,2.359322531795386,0.01572811008837882,0.42117977940199336,0.004513357788293706,0.6665153816621466,0.0,False,0.07352302085389181,4.284669340816663
78,0.05981488881001644,-0.18299123710527626,0.8014895110402644,1.3533717730800499,2.584071456243554,0.1836880101329199,0.22856205219376508,0.005266392202507504,0.8537320420219316,0.0,False,0.06934657467527046,0.7195372814206502
79,0.0421119015297692,-0.07267575394927307,1.1535016937612652,0.7473238011760965,3.456730940959596,0.0740940568169719,0.18215917656250527,0.0037417343218769787,0.523058499821266,0.0,False,0.05828325531744198,0.8285659947265828
80,0.04196182714757116,-0.0005455929695273215,0.7776817806939277,0.926240406025215,2.354481583373146,0.0020722719872063866,0.2510342788860639,0.0045023413586351155,0.9890094606421321,0.0,False,0.07235170459810196,0.676136807992985
81,0.03485872001639235,-0.05960955005791577,1.2892935982639893,1.3673344538612597,2.4597863851541764,0.060954986133228695,0.17747826129227245,0.004335560867726173,0.49776963994543577,0.0,False,0.06681762410126284,0.5962943563792605
82,0.0684165244781487,-0.06919987403519222,1.1894488590032928,1.2277587689344682,2.035936657037985,0.07062893484603405,0.2599323172574157,0.0038213989165753457,0.7870032342113543,0.0,False,0.062144582218729275,1.0425778421727143
83,0.03481871510901487,0.20465195082846402,1.0376985516141926,0.7012521395560537,1.7745169380398964,0.20580791821523192,0.10894954346047515,0.0006462340748186268,1.0400167075321023,0.0,False,0.09920593191778596,0.7515909705914713
84,0.049654730330560205,0.03601973150597168,1.1835978395369235,0.8164016495983311,1.6528441866119916,0.03669782785545106,0.13400778231775862,0.0036555728022724973,0.9436269602985727,0.0,False,0.05996475980243289,0.8297088018187802
85,0.05244967527847019,0.07372044004898377,0.7600815758571988,0.862165672268598,2.794881934646647,0.07442320738199304,0.20412772948015173,0.004183210042856374,1.4891627039597477,0.0,False,0.06765535078575474,0.7845913786038672
86,0.055450350168296435,0.31082230429108415,0.9925596130153538,0.8601109246157194,3.630282433689424,0.31208775436094327,0.22332960329238172,0.0009818465960099033,1.2459480091210435,0.0,False,0.1042797978056653,4.4172848036384
87,0.03753476969835601,-0.15288851655166075,0.7472093956555745,1.21705804330814,1.4256731548288817,0.15374079263272022,0.15119965997747215,0.004720021745364839,0.8208996469521602,0.0,False,0.06531950438930643,0.5490893314534984
88,0.05148942989045842,-0.045622039045931366,0.9890469357701508,0.8234011155422936,2.146665876594049,0.04743818086726037,0.29996488942010063,0.003425226538972142,0.6262352559869226,0.0,False,0.05747851416132425,0.7766799760399401
89,0.06450300680555271,-0.0666101772038639,0.8641011334777546,1.237774154796612,1.4513892982349204,0.0679571980459478,0.16473058061285722,0.004336886612213429,0.7509568967995156,0.0,False,0.0743765015851565,0.6292907569666055
90,0.04891315990137329,-0.11846991740739136,0.8226754076887449,0.9172869962112951,4.0369395587881645,0.11954752890552112,0.28962695263889787,0.004303389762263644,0.9936188496207522,0.0,False,0.07063290061228224,1.1587381802058268
91,0.058050174611264355,-0.08552009300438065,1.1626589937066036,0.9578978953201382,3.1387643141578834,0.08693908029642627,0.17468207531554752,0.0037932123135339755,0.7104334081874082,0.0,False,0.06258348302791816,0.8668078465765627
92,0.05601991745678339,-0.11675380120914018,0.9765340733229457,0.8682839457381234,2.6861994978363977,0.1178012044848874,0.290590801509475,0.004145324554639835,0.5724715933851731,0.0,False,0.06360904491687347,0.752088556150267
93,0.03848928865222305,0.030553683896283095,1.172345523654538,0.8663668329256269,1.7949037312002891,0.03122820333106535,0.16905843960774056,0.0036555726728718864,0.8281218926189182,0.0,False,0.05845843246097387,0.7286926508671903
94,0.06803822363363651,0.03908060352750197,0.7855726851226188,1.135025929350157,4.531367861131326,0.03976070287586686,0.3140463582212708,0.0036555728738442324,1.1722453893870735,0.0,False,0.058066132596443144,3.5731735463394623
95,0.040871442026312564,0.07829079016340244,1.1025145537719951,0.8519163971409958,4.032748927330941,0.07899654830132685,0.14181629457316675,0.004183210179390583,0.8709266563287653,0.0,False,0.06653546503831201,1.2475659432899615
96,0.06505914194449008,0.16717305578370487,0.871805504511057,1.347631204907921,2.9410614310390732,0.16793697828735965,0.18260467039313832,0.0026617813974446104,0.8943407811426636,0.0,False,0.06447022190860598,0.9004696630424092
97,0.03414049973534976,0.1895291245849577,0.8092007508634589,1.1007370884772345,2.286179116511548,0.19070674231384466,0.11152633323297631,0.0006208399138381042,1.2691324638115211,0.0,False,0.09835823786928037,0.6352075819955383
98,0.03907878028686439,0.029187120746166032,0.9508923489143737,0.8948662881536686,1.7642032548856588,0.029860745919342735,0.19848968589834512,0.0036555726401981633,0.9123916560386176,0.0,False,0.05779348057843335,0.9366278121157323
99,0.05996475818933756,0.23366864931885264,0.8933823943645527,0.854621049833965,3.6094871698477116,0.2346694914762113,0.3913879016169307,0.000868892604524519,0.9304544761234045,0.0,False,0.1021161030437299,3.9755007254384833
100,0.06638218695269618,-0.15967801581593308,0.8546727877244888,1.3250695537698145,3.463386397065886,0.1603943338499514,0.22277061336141893,0.005895625018529684,0.884834697633699,0.0,False,0.08523442479177272,1.7556838500289171
101,0.04247909737397175,0.05607055293183844,0.8584247836502108,0.8853252944339548,2.6856689559023352,0.056761770325888694,0.2571819658397787,0.004183209498844124,1.04895086295372,0.0,False,0.06870655233638866,0.8523850648134166
102,0.06628130128694143,-0.15082036144784758,1.0260831475420487,0.9109507854619135,3.281440782498283,0.15167364145621154,0.6179989886447781,0.00466191994277288,0.7970971284892956,0.0,False,0.08868080820975942,4.7947843968590185
103,0.058794145703919574,-0.15743555430904088,0.9290158900643861,0.9804359326905042,4.230989894648675,0.15816270884594186,0.23559949866616006,0.005897512931203148,0.8137186060896495,0.0,False,0.07384871622192458,1.2083857011195887
104,0.06042884553695979,0.20017983295629685,0.7740366647339196,0.9755343719667496,1.6845740078912947,0.20133722675411758,0.22140371993958452,0.0006697647606470159,1.103685675713846,0.0,False,0.1000374075055519,0.7916174670569076
105,0.04492947746864212,0.11478178210636822,0.8357079496568065,1.1319040009086447,2.2324421774786662,0.11551141977492296,0.161695043326176,0.0026471567639490983,1.0496704693301675,0.0,False,0.061018336889926424,1.0188125515095696
106,0.05992443539692104,-0.12270202702000882,0.7511973623405903,1.1990880225251417,2.9820353619090407,0.12374379261983559,0.2323272359888207,0.0042806650025728615,1.0359711659838031,0.0,False,0.06458445358802778,0.721389276892242
107,0.047997313679816606,-0.07091203049048202,1.1049991954397207,1.2236081143387925,3.3180469446867535,0.0723350448682828,0.22245956745407156,0.003743456083675209,0.5341863984623335,0.0,False,0.05856665158059821,0.7486314721632982
108,0.06388371651266485,0.038812204649895966,0.9052793804665472,1.2981955135253322,3.797511013041266,0.03949212836112381,0.706441896707422,0.0036555728675933203,1.1810631843493744,0.0,False,0.05867824766896464,8.131795333670993
109,0.04877866040945911,-0.2280058710402662,1.242175261920389,1.1863578118415565,3.469232995608746,0.22852675725829796,0.2521659460912322,0.0044307153473273995,0.47802163408723614,0.0,False,0.061886475073555665,0.8277575518643904
110,0.06595286316016441,0.09322067018101332,0.9414146065850456,1.0295510944265849,2.103612729934429,0.09393619834360001,0.14068624227200394,0.006460303926273191,1.2981926293740105,8.671875,False,0.07295730450643748,1.0492248486245743
111,0.05061514742023318,-0.05574814164286045,0.8575230364879831,0.9787910995211596,5.063207428781504,0.05706734318215145,0.23439729324431507,0.004351508063095308,0.8660068729811828,0.0,False,0.07246680414484738,1.626725844051833
