theta,seed,settled_max,settled_rms,whole_max,descent
20.0,0,0.07472797734644887,0.025534055214790744,0.11300951942001913,2.1721494027891453
20.0,1,0.06561641448121658,0.02439523908288302,0.126619301825603,2.1896055012240083
20.0,2,0.09706330865467194,0.029813180181930594,0.12259268369361087,2.166486705597066
20.0,3,0.0647761827265938,0.021688078389173925,0.14917808066916605,2.202656832019457
20.0,4,0.09132869428199908,0.03725583771127904,0.11818668205457317,2.1992108283423732
20.0,5,0.05914100712945736,0.025804556489030867,0.11998180562220861,2.172329116681027
20.0,6,0.06716969914002235,0.035501162312255134,0.16863565286094406,2.160068921465168
20.0,7,0.07576388935626732,0.027317810270421714,0.14148724621112585,2.2008588882329008
20.0,8,0.05355957721617255,0.020357724469166533,0.13406100023733702,2.148063585066282
20.0,9,0.09242413821879025,0.04546694774847956,0.12737804857457857,2.1623209673541908
30.0,0,0.07641598314533837,0.026723181363636033,0.15016058995421244,2.1727942016241
30.0,1,0.06627129607333115,0.025831736720273474,0.1680694490425254,2.1897778381326276
30.0,2,0.1007874777372959,0.031470507824950755,0.20755269002330312,2.1623034725142674
30.0,3,0.06800577742499003,0.02280130996854974,0.14999390821571157,2.20354230512325
30.0,4,0.09228981212212495,0.038177570322520935,0.12613732654325527,2.201932872628987
30.0,5,0.061099660416345625,0.02719313673244004,0.15827723684621842,2.173411211662696
30.0,6,0.06976766639579357,0.03721436671049529,0.18428798946039415,2.1622716119505156
30.0,7,0.07759840804349394,0.02834895484852274,0.12502805574773768,2.200940589725249
30.0,8,0.0654029284095976,0.023112520204478723,0.1760753405017721,2.1468660385887546
30.0,9,0.09697821618411173,0.046533113862533955,0.12193398462517302,2.162462364541014
45.0,0,0.08146714981242553,0.0296390310658293,0.20055343713085483,2.175169285944918
45.0,1,0.06421715486354085,0.029944959254131383,0.2144379693099394,2.1927261683040484
45.0,2,0.1201925916202502,0.034872157718817985,0.21733218950540523,2.1544027999396747
45.0,3,0.06854342914117018,0.025147062466365697,0.1871293622207535,2.2074364133046913
45.0,4,0.09433835195297613,0.040286146352679145,0.18335663562236526,2.2105096792915617
45.0,5,0.06909172733322677,0.030882678487617218,0.18372491907210908,2.17545864176455
45.0,6,0.0766490763791321,0.04137357797355431,0.2555415736497595,2.1691036753073547
45.0,7,0.08330584830690357,0.031046317137464773,0.2437534951061282,2.2033231222079337
45.0,8,0.08611092725706437,0.030433790841621462,0.2317234728371962,2.1407723960724354
45.0,9,0.10437663841833955,0.048633263326983915,0.18076618875839956,2.159503960044802
60.0,0,0.08301133361387913,0.03284253601310496,0.2099360518866067,2.17274197833396
60.0,1,0.07199368050386012,0.034349020004093275,0.24983523210788894,2.204437788417664
60.0,2,0.11440002823236006,0.039331686326954905,0.2033201020225579,2.1398986062499574
60.0,3,0.06332850178259952,0.03331466095390676,0.24439221596686478,2.2172698200838425
60.0,4,0.09619253757509982,0.04287614586971723,0.22287198468657188,2.2136840792529853
60.0,5,0.08773406155344121,0.04033202079838784,0.24139506259128374,2.1761116354785486
60.0,6,0.08102861947196027,0.0468973429431919,0.28914748626310405,2.1828749114486357
60.0,7,0.08262588171396268,0.03299386219621654,0.2011770199362748,2.2125785023040265
60.0,8,0.101641044743227,0.04296104200459677,0.22336248477709986,2.1233761874864143
60.0,9,0.11479466893122026,0.053489114289564044,0.21051878315750505,2.168279361740474
75.0,0,0.10056894978928477,0.04428576389519824,0.13243626169665967,2.175557957502093
75.0,1,0.08825071978191379,0.03767794336701137,0.2476141041162243,2.2198273985429466
75.0,2,0.12529141375005848,0.055874750607659035,0.31990351610886425,2.1740716784159844
75.0,3,0.07607255891703546,0.03884380345460546,0.2586764968476256,2.2165146123778072
75.0,4,0.10830175620709714,0.049232821662875244,0.1979685060601668,2.2252852780881227
75.0,5,0.11837380573065914,0.05718062932970693,0.31112285722659627,2.186478735152008
75.0,6,0.11036883706275935,0.05611365359134641,0.18933529842822372,2.201231127922881
75.0,7,0.08583086023829867,0.034291783398284925,0.2314855621516152,2.202283865710342
75.0,8,0.1417711874055383,0.06631059225892245,0.15781098706305485,2.096952040142668
75.0,9,0.16128672024004742,0.07601422696837035,0.25183739242183467,2.05061150581642
85.0,0,0.23488939096296346,0.10016028309064659,0.23488939096296346,1.944608920838121
85.0,1,0.07547407848481269,0.03520721777110695,0.14564230711292891,2.207842874988515
85.0,2,0.15921972921113747,0.060464537982553114,0.19620407692884423,2.1493867914639395
85.0,3,0.056928487131210126,0.028848741374576034,0.16536036493449524,2.218871235844233
85.0,4,0.20515611218710994,0.09661907110817493,0.20515611218710994,1.911381094869796
85.0,5,0.11733822718293219,0.059441622395967994,0.19358117012721654,2.113736656690591
85.0,6,0.13089501238889034,0.07085749142667595,0.243520043041066,2.1622015235394514
85.0,7,0.0765661487373901,0.037346150141741426,0.15568343205152524,2.1243868549499325
85.0,8,0.18896738888241837,0.10096772688072807,0.18896738888241837,2.0569149689723076
85.0,9,0.24402679630776913,0.08905104293579347,0.2755484127361547,2.0958587827185227
