alpha,delta1,delta2,U,CL,CM,dstar_s,dstar_p,SPL
0,10,0,40,0.7458629767020738,-0.11439677995662474,0.0076041965643056,0.0017140069774599,66.33061579009211
0,10,0,55,0.752161125298497,-0.11547846469156192,0.0074896316216915,0.001593685924045,73.25709635714551
0,10,0,70,0.7592579273185375,-0.1166148197688796,0.0073780489780185,0.0015179045990409,78.48577518100554
0,10,5,40,0.9422968311757308,-0.15038476913756185,0.013444080101062,0.0013464565955377,67.06474660251315
0,10,5,55,0.9556101065608756,-0.1527711513041236,0.0129111575597723,0.0012527967224998,74.30807732867207
0,10,5,70,0.9696664595760182,-0.1552496029172676,0.0124179087436282,0.0011929260114534,79.65965900289723
0,10,10,40,1.0874534653087196,-0.17601915626134593,0.0236551913586158,0.0010482742318077,65.98960064487336
0,10,10,55,1.106996563512752,-0.17951885003899698,0.0224298635559043,0.0009740694335469,73.81267890008603
0,10,10,70,1.125789206081189,-0.18285487962873515,0.0214836279289213,0.0009254582786035,79.7033842142667
3,-10,-10,40,-0.8614762352234044,0.19809378611161335,0.0013373648132966,0.0097638784071296,67.00461195482708
3,-10,-10,55,-0.8542079244601654,0.197052539626918,0.0012491176655719,0.0111591471119471,74.33196717091286
3,-10,-10,70,-0.8613203865305686,0.19843203547943228,0.001199295382882,0.0114265590979558,79.75343763760105
3,-10,-5,40,-0.7010407427515549,0.16859874662435206,0.0017187434655775,0.0036391604712057,65.00993198631215
3,-10,-5,55,-0.6857084954350685,0.16677869587560162,0.0016116364286284,0.0045873841255118,72.43872529576673
3,-10,-5,70,-0.6824449745666109,0.16688892919862494,0.0015733375436091,0.0053640057088133,78.09379424424625
3,-10,0,40,-0.4470716813730326,0.1204784113918481,0.0022112857160882,0.0021708499227572,64.51394561494827
3,-10,0,55,-0.444003035773072,0.12052288451793618,0.0021297593908797,0.0022386942849105,71.43943766766404
3,-10,0,70,-0.4403725928957765,0.1207133258772988,0.0020775791655193,0.0025640814546825,76.90812780986771
3,-10,5,40,-0.1744737087672314,0.0691206456663971,0.0030056105332187,0.0016367508088156,64.92873270479382
3,-10,5,55,-0.175605174265282,0.06960100647136057,0.0028804885472007,0.001514734052787,71.74733179846083
3,-10,5,70,-0.1757194987039527,0.07013894695674217,0.0027927017398302,0.0015068152965541,76.93565256277014
3,-10,10,40,0.0963615199293615,0.018021396151984403,0.0042536973432608,0.0013503809989644,65.80724443128273
3,-10,10,55,0.0966238994565209,0.018080571596370193,0.0041037792434094,0.0012212807866916,72.6911765335848
3,-10,10,70,0.0968977324429028,0.018137566706339737,0.0040023403997896,0.0011630389966216,77.91261888820357
3,-5,-10,40,-0.5759683726690922,0.15942037397982264,0.0016892588548529,0.0033219648776142,64.76548309071117
3,-5,-10,55,-0.5566618679913663,0.15625090714849116,0.001578600877875,0.004150393148872,72.15778147747159
3,-5,-10,70,-0.5500486844742366,0.15562152803820722,0.0015309827802567,0.0049800069035602,77.85841965307648
3,-5,-5,40,-0.3252754473860779,0.11200497376827233,0.0022177388547919,0.002009039510743,64.39291465999872
3,-5,-5,55,-0.3214382886884024,0.11131137276396529,0.0021316007844533,0.0020985670230256,71.33277292157365
3,-5,-5,70,-0.317152370633912,0.11109677370695042,0.0020707617455155,0.0023181594459126,76.71717774090027
3,-5,0,40,-0.0548593952386549,0.06020621113305653,0.0030100372179436,0.0015808711252051,64.87960402346044
3,-5,0,55,-0.0554141320120114,0.060586345680361746,0.0029046956336869,0.0015348013161561,71.78917171216835
3,-5,0,70,-0.0546761068380392,0.06094652268900182,0.0028388247387976,0.0015308653932849,77.00557254829516
3,-5,5,40,0.2120917842601583,0.009522058481156658,0.0043037682115835,0.0013424329901933,65.84142930278347
3,-5,5,55,0.2128892649203337,0.009451482778639131,0.0041885147349424,0.0012411561314324,72.77779200152602
3,-5,5,70,0.214315606938729,0.009321840660648435,0.0041106566825086,0.0011823232236145,78.01646167665793
3,-5,10,40,0.4649121569524586,-0.0387191708843632,0.0067307919636904,0.001128485364785,67.22146724061801
3,-5,10,55,0.467654768823249,-0.03934853712331385,0.0065189215017375,0.001019819094207,74.1763870053636
3,-5,10,70,0.471351988482756,-0.039935895987969046,0.0063467493809436,0.000954047464922,79.41774517616761
3,0,-10,40,-0.1895078214137713,0.10122206055608264,0.0023934158052201,0.0023554798980938,64.85565695950334
3,0,-10,55,-0.1793478118072843,0.09891764107984283,0.0022763229942501,0.0023722962516968,71.70601876236256
3,0,-10,70,-0.1750083969869642,0.09866079639371372,0.0021983545258825,0.0025819217616188,77.05711563523207
3,0,-5,40,0.0732773300226957,0.050866989910594074,0.0032350089105779,0.0016618267073682,65.17644175119813
3,0,-5,55,0.0784539938276051,0.049714408425306146,0.0031150913831396,0.0016080120847289,72.06751162068802
3,0,-5,70,0.0809701750226889,0.049716806409925235,0.0030443054620294,0.0016894099387367,77.33858445111271
3,0,0,40,0.3357932507492957,0.0003718359335558987,0.0046340116887356,0.0013604762573366,66.10537027935784
3,0,0,55,0.3391665592516484,-0.00020285714763606751,0.0045021088476681,0.0013443958535478,73.10251916740313
3,0,0,70,0.3427024641870838,-0.0005022817265775175,0.0044165916165188,0.0013350191765616,78.3535724698579
3,0,5,40,0.583490901210255,-0.04703851141919085,0.0070434732340154,0.0011944884935211,67.40086193343147
3,0,5,55,0.5884901267933992,-0.04784457003235887,0.0067981982705453,0.0011084878597176,74.3686177669365
3,0,5,70,0.5946810983764523,-0.04867803565696523,0.0065946224246641,0.0010604504423344,79.61737813659681
3,0,10,40,0.8131951454020757,-0.09032822134574041,0.011077902152718,0.0009875171536706,68.49285125540764
3,0,10,55,0.8231351113190264,-0.0920703922815002,0.0104764863391601,0.0009029984716877,75.60332890517877
3,0,10,70,0.8335054265642158,-0.09367651629249066,0.0100359285313863,0.0008555639849821,80.91696436415829
3,5,-10,40,0.2089147423254856,0.03720243943410454,0.0037243030411292,0.0024943696305842,66.14069386912169
3,5,-10,55,0.2073383792922924,0.03788844910447691,0.0036055539237116,0.0022996705597984,72.93421439600203
3,5,-10,70,0.2076026239673047,0.038557216067528856,0.0035252094651821,0.0022219517255995,78.12454388809569
3,5,-5,40,0.4607837128980181,-0.010462049546905158,0.0053717016341061,0.0019008438533835,66.9404809460302
3,5,-5,55,0.4622382726525897,-0.01039410928694472,0.005209993213044,0.0017777213806351,73.807119921991
3,5,-5,70,0.4656810644502149,-0.010375202580284532,0.0050759138773563,0.0017084860734803,79.00763612573594
3,5,0,40,0.7058547193407221,-0.05626433512871148,0.0079961954708018,0.0014738464901971,67.90941921632853
3,5,0,55,0.7122526643890662,-0.05725395045204558,0.0076228060915449,0.0013869639012736,74.88279356240322
3,5,0,70,0.7199767281470413,-0.05819163121089783,0.0073284877547322,0.0013347985280013,80.09682634900416
3,5,5,40,0.9350096571260657,-0.09961858629232032,0.0119477649287706,0.0011740956418612,68.67060199759685
3,5,5,55,0.947258645691714,-0.10155459308096276,0.0112642184411949,0.0011062003388041,75.85441635090514
3,5,5,70,0.9596856469853388,-0.10333063985424559,0.0107704473606569,0.0010630898056626,81.20535038630791
3,5,10,40,1.1193371757933075,-0.1334539830384038,0.0188612788487625,0.0009238586390062,67.86174463169036
3,5,10,55,1.1383074027306048,-0.13657834263829205,0.017716483103378,0.000872166807722,75.9881255118953
3,5,10,70,1.156469013411284,-0.13939347970395582,0.0168829407609585,0.0008373100492748,81.88615056389168
3,10,-10,40,0.5674944773024387,-0.019716839169063638,0.0067539930059421,0.0022873057915972,67.77983860889724
3,10,-10,55,0.5718479193407,-0.019826650904575534,0.0064331985968047,0.0020458346664112,74.59631621246386
3,10,-10,70,0.5784125135709514,-0.020067143787999706,0.0061655208212731,0.0019147082439004,79.7354197800399
3,10,-5,40,0.813820812659779,-0.06525888539853156,0.0096660457171441,0.0017898523168032,68.53438093476205
3,10,-5,55,0.8226769855095635,-0.06630513742703714,0.0090754491678071,0.0016284235071976,75.48453712815689
3,10,-5,70,0.8329593146315569,-0.06737270354063625,0.0086380591357529,0.0015316728419889,80.69506497238402
3,10,0,40,1.0418353925534165,-0.10725989987854945,0.0139373323406796,0.0013743151278119,68.78567593942947
3,10,0,55,1.057970440084735,-0.10969182762620737,0.012998223267267,0.00127277861947,76.19772399476814
3,10,0,70,1.073393811009294,-0.11178319506741119,0.0123412369889881,0.0012084178835573,81.59276056406549
3,10,5,40,1.215086105886137,-0.13915124443749885,0.0217366322548411,0.0010615352725489,67.27299192155407
3,10,5,55,1.237881526338948,-0.14277954577343022,0.0202798129450225,0.0009942866812616,75.64761894415756
3,10,5,70,1.2594320914447814,-0.14602349115242053,0.0192328741650916,0.0009502153030637,81.7717550165316
3,10,10,40,1.3582083233849338,-0.1644118748364135,0.0334158466616141,0.0008425037162911,65.29022346816564
3,10,10,55,1.383862433665633,-0.16860313321351245,0.0314861359246542,0.0007877083249742,73.57010791329357
3,10,10,70,1.407958065408913,-0.1723624614098344,0.0300822221594166,0.0007513349921216,79.89013568346957
6,-10,-10,40,-0.6654599320269489,0.22727307501414862,0.0020022474087054,0.0029091214565935,66.05117375860712
6,-10,-10,55,-0.6673588053754781,0.22766218174738206,0.0018999613931727,0.0024729440051179,72.99571550724977
6,-10,-10,70,-0.6701463334936067,0.22864215420746872,0.0018368111517997,0.0022720352132932,78.40557132020463
6,-10,-5,40,-0.3682458506099282,0.17068023111013025,0.0025566455491228,0.0017245819360185,66.07317616692296
6,-10,-5,55,-0.371272030241805,0.17192410341184142,0.0024629595201381,0.0015938157400988,73.3642122176
6,-10,-5,70,-0.3758121749514873,0.17360413325100146,0.0024077330301857,0.0015288056933025,78.95118898125102
6,-10,0,40,-0.090508613826535,0.1177088580278448,0.0034336827397332,0.0015034521219091,66.94883736409764
6,-10,0,55,-0.0919419661996463,0.11862018588950593,0.0033326296547102,0.0013765838987685,74.34772939684854
6,-10,0,70,-0.0938913953804871,0.11983146540063007,0.0032707263850367,0.0012953284052661,79.96042111994436
6,-10,5,40,0.1776332077590749,0.0659262409655019,0.0048723716052644,0.0013203334564985,68.14646573159057
