seed,gamma,whole_max,settled_max,descent
0,1.0,0.1050513131481392,0.04730577017186843,1.8947259724606624
1,1.0,0.06412912639366652,0.03737589192547652,1.1804882949920454
2,1.0,0.10383103185648812,0.10298015326698384,2.1398840077316095
3,1.0,0.14875232407267203,0.14875232407267203,1.769862376215798
4,1.0,0.045151581190400414,0.03932630565871764,2.1836975652591235
5,1.0,0.07083818309832446,0.07083818309832446,2.1105384736794264
6,1.0,0.07496821629857209,0.023778287645814133,2.0239930651325153
7,1.0,0.04637390946503217,0.04637390946503217,2.0632356758325727
8,1.0,0.11593886581944357,0.11593886581944357,1.8302666195849326
9,1.0,0.06738235348189714,0.018419829591042713,1.9341848406146767
10,1.0,0.08088856122658661,0.08088856122658661,1.5473761770859085
11,1.0,0.07926128637087348,0.043864948454825914,2.1296081845678003
12,1.0,0.10561841375201597,0.09712546276608114,2.1761895639348268
13,1.0,0.11427948417695766,0.11427948417695766,2.149933610918623
14,1.0,0.04441387650636219,0.03714721173957969,2.2341331453509667
15,1.0,0.04313969026019304,0.0383475203625081,1.1653653941856987
16,1.0,0.06434133282096788,0.06434133282096788,1.885890918552633
17,1.0,0.07616212533847722,0.07616212533847722,0.96157960578158
18,1.0,0.07228710169916641,0.024535127898809295,0.4673367399020947
19,1.0,0.10268292567060211,0.08488157168961208,1.712865453226911
20,1.0,0.07130974153165348,0.06058692573895463,2.143412156070383
21,1.0,0.0637838952384977,0.02892931529562559,0.8781538094662409
22,1.0,0.0962112880702537,0.07323228534526782,0.6901361929239158
23,1.0,0.08069098366991567,0.07424128496677218,1.3001047682331972
24,1.0,0.056588312469154634,0.056588312469154634,0.6198925643313231
25,1.0,0.06487704848794529,0.04610250519210868,0.9601154801872838
26,1.0,0.0646241001282386,0.06019153582472714,1.9682097377225602
27,1.0,0.061104724529128074,0.061104724529128074,2.1647229763438247
28,1.0,0.041034739841107726,0.030461330061803515,2.0802315989649856
29,1.0,0.10042607404167314,0.10042607404167314,2.1612913807770724
0,2.0,0.10132189382045476,0.047764425166599844,1.908317428965148
1,2.0,0.06412580800558842,0.03737542525954041,1.1805263502705259
2,2.0,0.10641775574028078,0.10641775574028078,2.190808142501183
3,2.0,0.4839004396189598,0.4839004396189598,2.032832165383681
4,2.0,0.04759963228769659,0.039702329814419235,2.209506046543339
5,2.0,0.07322538907964748,0.07322538907964748,2.180122083750277
6,2.0,0.0749604703017297,0.023778625894747885,2.0239375638592634
7,2.0,0.04681318608335139,0.04681318608335139,2.098157233610607
8,2.0,0.11628567016382041,0.11628567016382041,1.8370456895737703
9,2.0,0.06738398565068304,0.01841953770851501,1.934270790733791
10,2.0,0.08091486753406918,0.08091486753406918,1.5474555787483268
11,2.0,0.07919711099439608,0.04202133121612617,2.1819509480743307
12,2.0,0.10265512174487013,0.09623166092246649,2.189162772832006
13,2.0,0.11274423395842947,0.11274423395842947,2.216112374903247
14,2.0,0.041894238202675016,0.03507046711276263,2.237989740599261
