alpha,delta1,delta2,U,CL,dstar_s,dstar_p,SPL,dstar_s_c,dstar_p_c,H_s_c,alpha_eq,corr_ok,corr_reason,SPL_c,SPLA_c
0,0,0,55,-2.238458132794592e-16,0.0025643855560777,0.0025643855560777,71.14622884521063,0.0030942138760319034,0.0049708693060666834,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,0,0,70,-4.512624023625485e-16,0.0025523076596033,0.0025523076596033,76.36689948463862,0.0030796405624458115,0.004947457208488707,1.3985816371937865,,False,outside the equivalent-incidence map,,
0,0,5,40,0.2511634729360114,0.003862453183916,0.0018846986891574,64.64891924602371,0.004129581401070159,0.003308206404979274,1.718220037953145,9.638137218025786,True,,66.57240256028149,66.92063907686703
0,0,5,55,0.2535877745876376,0.0038432125953308,0.0018430253598583,71.54892426714673,0.0041090101286213555,0.0032350573251304793,1.718220037953145,9.638137218025786,True,,76.06901503370696,76.51937241039995
0,0,5,70,0.2568001667096286,0.0037739160005241,0.0018154342329186,76.73755058919818,0.0040349209641849055,0.003186626696198849,1.718220037953145,9.638137218025786,True,,83.19582022929939,83.70240460085411
0,0,10,40,0.4917872334796469,0.0063008702800696,0.0014489119291717,65.69323482263304,0.005969241322855119,0.00230300194412057,2.037858438712503,,False,outside the equivalent-incidence map,,
0,0,10,55,0.4980069636200586,0.0061187045506983,0.0014041625784856,72.57798098849464,0.005796663385040599,0.00223187419677216,2.037858438712503,,False,outside the equivalent-incidence map,,
0,0,10,70,0.5040870589132436,0.0059937591851356,0.0013744008068516,77.78065438015729,0.0056782941747467045,0.002184568755665911,2.037858438712503,,False,outside the equivalent-incidence map,,
0,5,-10,40,-0.1257179954482826,0.0018060843280834,0.0038021749023189,64.54802129897595,0.002459400381515111,0.008139157765363518,1.078943236434428,,False,outside the fitted design box,,
0,5,-10,55,-0.1292222312446605,0.0018656215615166,0.0037536908488605,71.50172111284905,0.00254047405694828,0.008035369967500363,1.078943236434428,,False,outside the fitted design box,,
0,5,-10,70,-0.1325219593100987,0.001908762099534,0.0037096545772286,76.76301323557232,0.002599219849716081,0.00794110335130871,1.078943236434428,,False,outside the fitted design box,,
0,5,-5,40,0.1285833462262731,0.0026310947695885,0.0026385182685827,64.3251766247234,0.0031747058962802183,0.005114570016084021,1.3985816371937865,,False,outside the equivalent-incidence map,,
