alpha,delta1,delta2,U,CL,dCL_dalpha,dCL_dd1,dCL_dd2,dCL_dU,SPL,dSPL_dalpha,dSPL_dd1,dSPL_dd2,dSPL_dU,sigma
7.206587009569470403e+00,5.927814015650969992e+00,-8.727554286028961883e+00,5.273876598386924286e+01,7.975097505453647706e-01,1.074056403327229292e-01,7.668764988887347145e-02,4.898199509470445301e-02,8.179531128635212159e-04,7.736836201433966664e+01,9.526735018461551796e-01,3.502689838385155685e-01,2.059436539984458581e-01,5.953005877273712665e-01,2.419822929784392618e-01
1.140155400496374760e+01,4.478025600322368405e-01,-7.010273933515391853e+00,5.780911988226615961e+01,9.391420383288447971e-01,1.082247873883606659e-01,6.854267132016182706e-02,5.045203250349486468e-02,9.110227948052318763e-04,8.077440041576744534e+01,-3.356748491953797098e-01,2.389816717517160294e-01,1.330382866810521647e-01,6.531109433127206820e-01,2.881662208172051098e-01
2.763634548251577616e+00,-7.873940767344613789e-01,-9.536192638012757072e+00,4.118885721600683070e+01,-2.522791610568301257e-01,1.048841938751824548e-01,7.658521959902045428e-02,4.476017063872394369e-02,6.383996109969964576e-05,6.554806746392603145e+01,4.490037756913847211e-01,4.905520234304464045e-02,-7.489134546912266932e-02,2.885704803709326360e-01,2.012101316817130336e-01
6.581879030832364919e+00,5.564272030877932096e+00,4.943967353726375080e-01,6.965903003685815520e+01,1.175866121543257314e+00,1.040411335910054608e-01,6.872246502703992233e-02,4.482087540066635040e-02,5.777556832739683297e-04,8.554905592228794831e+01,1.286812975075550147e+00,2.956853502104248022e-01,1.857522960440103066e-01,1.140803668344923250e-01,1.145732033668480226e-01
1.090954049864077469e+01,7.745779037054695948e+00,3.933918043788258601e+00,6.456234977869897307e+01,1.768075181992696976e+00,5.300114301264537836e-02,3.052224352127664089e-02,2.488343275076536701e-02,2.186210472781840216e-03,8.839562976660423033e+01,3.377014729035527352e-01,1.814196513664048938e-01,9.960707659327795727e-02,4.469857791096462640e-01,5.154781405064620126e-01
1.598033349111001922e+00,3.498375397335752979e+00,-1.458930139725447717e+00,5.909507027289001968e+01,3.742282465529396251e-01,1.113593387329844808e-01,7.752464877237025265e-02,5.102530788321513189e-02,2.055645888599412084e-04,7.433919947913740600e+01,9.624949046621612547e-01,2.986097978162228772e-01,1.869970727713003156e-01,4.482906485085767501e-01,3.756144908428960538e-01
6.280950968085189601e+00,6.009580979969271652e+00,-7.308590827106247190e+00,6.283254232665058225e+01,7.842749992143245308e-01,1.099161054831129525e-01,7.766013032641991276e-02,5.196842855950597334e-02,8.951077041626356650e-04,8.182685817890414626e+01,1.368087173961229919e+00,3.939406809102086737e-01,2.297058889439459739e-01,3.810983146618865947e-01,5.318905725372305993e-01
9.004918309224418493e+00,8.782227074643706999e+00,-3.372855780751886634e+00,4.564089785747758299e+01,1.409039272708543677e+00,8.294813194979774873e-02,5.308405439345790372e-02,3.896453930255473763e-02,1.575128114457653283e-03,7.526637125768628778e+01,-5.431138581218555167e-02,8.350878928707795856e-02,1.634929534073939136e-02,6.016027579954446036e-01,5.191605812263452302e-01
8.028158890606965414e+00,-9.186883811266284283e+00,1.806917086126702543e+00,4.922963770278554563e+01,2.972963650466142194e-01,1.161103854631842652e-01,7.291334990169341668e-02,5.255488937287067230e-02,1.643945104666964720e-04,7.322541143974592615e+01,7.367241279269083343e-01,3.311820541782500293e-01,2.578245485540463511e-01,5.951740596380128423e-01,4.734015649878544618e-01
5.613034316939768509e+00,7.513434497401664913e+00,8.813227867927761139e+00,4.739180932857162531e+01,1.475976068503165983e+00,8.825388901927931629e-02,4.563740839119782844e-02,2.787906917428735476e-02,1.641916181908273159e-03,7.230970295509384016e+01,6.686471543493004432e-01,-8.006528532107861640e-01,-4.214553651731341444e-01,6.427807311949438329e-01,5.303120137512894461e-01
2.458189083573540934e+00,-4.468738550977315427e+00,9.851154383452804808e+00,5.788147360375451456e+01,4.392520920026503628e-01,1.134616669353647606e-01,7.560200784687413911e-02,4.665223626404872703e-02,2.374117446081956391e-04,7.504958456328610339e+01,1.190794012795930668e+00,2.625009533126744232e-01,2.660060789212084220e-01,4.823663757911275107e-01,2.909318985639323674e-01
5.889190669092845276e+00,-4.847100115151157240e-01,-5.167941666923003829e+00,4.275714556491316642e+01,3.440314210943484219e-01,1.131321164595580492e-01,7.601115241179881576e-02,5.524001399724582512e-02,3.975991903173903730e-04,6.927789604854986294e+01,1.106390556000643954e+00,3.471776839004420689e-01,1.846474341361169502e-01,3.820828065733398171e-01,3.545776474234862419e-01
4.468616272620707264e+00,5.935219138638046843e+00,-9.788401861233085199e+00,6.686829955644824963e+01,4.516485236004850190e-01,1.136013516096420484e-01,7.788784926513499240e-02,4.839773175618879847e-02,3.966771354720058027e-04,7.991914026393911286e+01,1.390276604605619637e+00,3.700171149270057303e-01,1.668666743677038322e-01,2.303917362612720177e-01,3.909355149739702218e-01
5.728813858219060862e+00,4.344844645504599256e+00,6.612806519876095024e+00,5.386827826392183027e+01,1.249591174424076634e+00,1.001719351647682721e-01,6.134365963342357231e-02,3.999523280933031666e-02,1.343324553802076370e-03,7.841640687649821473e+01,1.061474863264854962e+00,-5.226165594021089239e-02,-8.912387018419794249e-04,6.244069347681214799e-01,1.520367097040815907e-01
4.390684629367115122e+00,-7.057048561166139322e+00,8.532258755401130657e+00,5.334437094863136508e+01,3.962491328559737402e-01,1.146759749253888905e-01,7.654587120512380827e-02,5.089424596572615644e-02,3.130098434933389212e-04,7.409063950994099912e+01,1.311168772544166972e+00,2.798635485640165732e-01,2.878067204312422800e-01,5.523244741420859638e-01,1.988518254121906803e-01
1.005501593171112695e+01,3.174965179082908762e+00,-8.279304046406128492e-01,4.314133910719731091e+01,1.274341092406865439e+00,9.458850538539262387e-02,6.235437417471228344e-02,4.427260022139786061e-02,9.893340183775669629e-04,7.303511980940800186e+01,-5.594460862650164623e-01,1.692009326431687943e-01,1.045588693946420955e-01,5.093764199538565185e-01,3.875447504130946630e-01
9.223770078234110770e+00,-8.614958599803291150e+00,5.428846891273643394e+00,6.054712111180341338e+01,6.693844717144237233e-01,1.122631174322045178e-01,7.231657473735726704e-02,5.283574226699292581e-02,5.921377670021246405e-04,8.194282112071294932e+01,5.626686082588857607e-01,3.264312209026107858e-01,2.498675984099716085e-01,5.166488639210234934e-01,4.651238583677199112e-01
3.767936126551945986e+00,-2.858587432942421458e+00,7.323980681687821459e+00,6.450681983027344302e+01,5.864548058805034714e-01,1.136514098951705992e-01,7.484339526324751413e-02,5.091862840476046176e-02,2.287929695179342113e-04,7.922300762073987812e+01,1.451695037076812023e+00,3.323581146772065509e-01,2.994634160532776423e-01,3.072503892568810846e-01,5.156232630040751275e-01
