i,t,alpha,delta1,delta2,CL,viol,SPL,flags
8.600000000000000000e+01,8.599999999999999867e-01,1.150256344899534788e+01,-2.567146050993885709e+00,4.144781536204475536e+00,1.309328887439180633e+00,9.328887439180588714e-03,8.031739421515246136e+01,0.000000000000000000e+00
8.700000000000000000e+01,8.699999999999999956e-01,1.142698883160948320e+01,-2.665518891875233276e+00,4.140043517095703507e+00,1.307570028477804458e+00,7.570028477804413569e-03,8.031562032626403891e+01,0.000000000000000000e+00
8.800000000000000000e+01,8.800000000000000044e-01,1.139669749364256468e+01,-2.731769564215626556e+00,4.155601467830795315e+00,1.302274539868340186e+00,2.274539868340141879e-03,8.031489826869453452e+01,0.000000000000000000e+00
8.900000000000000000e+01,8.900000000000000133e-01,1.141913539513945253e+01,-2.760823688570942736e+00,4.194884397728103842e+00,1.296430619920132754e+00,3.569380079867290334e-03,8.031048258440401355e+01,0.000000000000000000e+00
9.000000000000000000e+01,9.000000000000000222e-01,1.141725802242755528e+01,-2.805565042559590161e+00,4.222257380230087342e+00,1.292557771674755385e+00,7.442228325244659715e-03,8.030556946044315225e+01,0.000000000000000000e+00
9.100000000000000000e+01,9.100000000000000311e-01,1.146063312828540504e+01,-2.818240826193775916e+00,4.269959668857711499e+00,1.289009047273171005e+00,1.099095272682903968e-02,8.029656853213671752e+01,0.000000000000000000e+00
9.200000000000000000e+01,9.200000000000000400e-01,1.151550399124622004e+01,-2.822030354802098184e+00,4.322394180042404166e+00,1.287736206609968237e+00,1.226379339003180746e-02,8.028355536778697399e+01,0.000000000000000000e+00
9.300000000000000000e+01,9.300000000000000488e-01,1.159248490631579998e+01,-2.809626121584858804e+00,4.384531569225448955e+00,1.288626345787251548e+00,1.137365421274849631e-02,8.026536574624215348e+01,0.000000000000000000e+00
9.400000000000000000e+01,9.400000000000000577e-01,1.167481118786816374e+01,-2.780993049208607459e+00,4.456445159656662547e+00,1.292072447785013845e+00,7.927552214986199886e-03,8.024356336953069047e+01,0.000000000000000000e+00
9.500000000000000000e+01,9.500000000000000666e-01,1.167866565514092159e+01,-2.817390151087727279e+00,4.483226575595993246e+00,1.297901408535480305e+00,2.098591464519738992e-03,8.022500366516948134e+01,0.000000000000000000e+00
9.600000000000000000e+01,9.599999999999999645e-01,1.169803338337425913e+01,-2.842192139689411867e+00,4.516690840465683365e+00,1.301581564501885779e+00,1.581564501885734941e-03,8.020751244341735742e+01,0.000000000000000000e+00
9.700000000000000000e+01,9.699999999999999734e-01,1.166709447432045721e+01,-2.900894599024739229e+00,4.526081585628647375e+00,1.304400137970531892e+00,4.400137970531847742e-03,8.019620380372151658e+01,0.000000000000000000e+00
9.800000000000000000e+01,9.799999999999999822e-01,1.162206040907387461e+01,-2.968500537936177075e+00,4.528343421859402085e+00,1.304325866988495397e+00,4.325866988495352672e-03,8.019121413830762890e+01,0.000000000000000000e+00
9.900000000000000000e+01,9.899999999999999911e-01,1.159998415756706969e+01,-3.019411683146443259e+00,4.540819736165661702e+00,1.301515775054036483e+00,1.515775054036438974e-03,8.018841491700031554e+01,0.000000000000000000e+00
1.000000000000000000e+02,1.000000000000000000e+00,1.158478786635880198e+01,-3.064263372485127146e+00,4.555674869460720977e+00,1.297746594012184396e+00,2.253405987815648714e-03,8.018650194518129126e+01,0.000000000000000000e+00
1.010000000000000000e+02,1.010000000000000009e+00,1.161454906392578756e+01,-3.077267741028752113e+00,4.591062778873104655e+00,1.293589686300494757e+00,6.410313699505287843e-03,8.018051268350716043e+01,0.000000000000000000e+00
1.020000000000000000e+02,1.020000000000000018e+00,1.167553226876740169e+01,-3.067908423606839019e+00,4.640600895328183206e+00,1.291177174662629268e+00,8.822825337370776566e-03,8.016821231553541338e+01,0.000000000000000000e+00
1.030000000000000000e+02,1.030000000000000027e+00,1.174108130538004779e+01,-3.038081596557583808e+00,4.703047594470639581e+00,1.291439354462724509e+00,8.560645537275535233e-03,8.015240281216050278e+01,0.000000000000000000e+00
1.040000000000000000e+02,1.040000000000000036e+00,1.179338811237397699e+01,-3.017880793277706974e+00,4.758068093700070555e+00,1.294284826766531005e+00,5.715173233469039715e-03,8.013496853313071711e+01,0.000000000000000000e+00
1.050000000000000000e+02,1.050000000000000044e+00,1.180402925092759681e+01,-3.041912699405636911e+00,4.782198550147671590e+00,1.298364720002689321e+00,1.635279997310723488e-03,8.011921174234900889e+01,0.000000000000000000e+00
1.060000000000000000e+02,1.060000000000000053e+00,1.184361930124525486e+01,-3.032957472865071225e+00,4.827804572028774999e+00,1.301033413935139826e+00,1.033413935139781969e-03,8.010260266187366085e+01,0.000000000000000000e+00
1.070000000000000000e+02,1.070000000000000062e+00,1.185127744965319074e+01,-3.057944321696247858e+00,4.849508959693570098e+00,1.304309559866136725e+00,4.309559866136680739e-03,8.008785413902344885e+01,0.000000000000000000e+00
1.080000000000000000e+02,1.080000000000000071e+00,1.184198740653757476e+01,-3.094035515849079765e+00,4.862814666671414265e+00,1.306266264671924748e+00,6.266264671924703933e-03,8.007679321249895565e+01,0.000000000000000000e+00
1.090000000000000000e+02,1.090000000000000080e+00,1.179084228210214924e+01,-3.158569202486958272e+00,4.855970566911358866e+00,1.306518946405174741e+00,6.518946405174697034e-03,8.007405556456185991e+01,0.000000000000000000e+00
1.100000000000000000e+02,1.100000000000000089e+00,1.175022320918802521e+01,-3.215130114619221491e+00,4.853724092734713835e+00,1.303675082085991921e+00,3.675082085991876468e-03,8.007602522682383039e+01,0.000000000000000000e+00
1.110000000000000000e+02,1.110000000000000098e+00,1.173084903411630897e+01,-3.256290960375752164e+00,4.861126682055850523e+00,1.299065534156967905e+00,9.344658430321395315e-04,8.007860938651640481e+01,0.000000000000000000e+00
1.120000000000000000e+02,1.120000000000000107e+00,1.177071657113794600e+01,-3.255665222246732604e+00,4.896089779628177041e+00,1.294136326477544063e+00,5.863673522455981058e-03,8.007413758433146711e+01,0.000000000000000000e+00
1.130000000000000000e+02,1.130000000000000115e+00,1.181465443067316379e+01,-3.251584889133062095e+00,4.932635509265322682e+00,1.291650880441248761e+00,8.349119558751283421e-03,8.006404130794459206e+01,0.000000000000000000e+00
1.140000000000000000e+02,1.140000000000000124e+00,1.185209798003212001e+01,-3.226796077926244344e+00,4.982498037112613076e+00,1.291139826594116080e+00,8.860173405883964293e-03,8.005341986308195601e+01,0.000000000000000000e+00
1.150000000000000000e+02,1.150000000000000133e+00,1.188197717598522729e+01,-3.201706525523748237e+00,5.031855727923770338e+00,1.292442694015544236e+00,7.557305984455808812e-03,8.004385316851832499e+01,0.000000000000000000e+00
1.160000000000000000e+02,1.159999999999999920e+00,1.190582017073568721e+01,-3.167627355296697367e+00,5.086635081065555397e+00,1.294869334490761359e+00,5.130665509238685473e-03,8.003726627179055697e+01,0.000000000000000000e+00
1.170000000000000000e+02,1.169999999999999929e+00,1.192484639886989228e+01,-3.173321549136724151e+00,5.113674797309299080e+00,1.298192711109730002e+00,1.807288890270042359e-03,8.002916803135397572e+01,0.000000000000000000e+00
1.180000000000000000e+02,1.179999999999999938e+00,1.192358305875434432e+01,-3.200131112773503705e+00,5.125652686847110395e+00,1.300985926758174704e+00,9.859267581746600229e-04,8.002196992622648963e+01,0.000000000000000000e+00
1.190000000000000000e+02,1.189999999999999947e+00,1.191984324310197429e+01,-3.228089915950383748e+00,5.136174968970675714e+00,1.302315233316589715e+00,2.315233316589671020e-03,8.001587777695115733e+01,0.000000000000000000e+00
1.200000000000000000e+02,1.199999999999999956e+00,1.188880098674668950e+01,-3.273974496562566561e+00,5.133200951410193724e+00,1.302502980816000022e+00,2.502980815999977793e-03,8.001462135775041418e+01,0.000000000000000000e+00
1.210000000000000000e+02,1.209999999999999964e+00,1.191126543386856973e+01,-3.276063123632754870e+00,5.159428590131660108e+00,1.300682457580173423e+00,6.824575801733789859e-04,8.000992465941840237e+01,0.000000000000000000e+00
1.220000000000000000e+02,1.219999999999999973e+00,1.192919160884461682e+01,-3.261994689394321245e+00,5.196060403180976728e+00,1.299978364377223583e+00,2.163562277646136067e-05,8.000557467378803267e+01,0.000000000000000000e+00
1.230000000000000000e+02,1.229999999999999982e+00,1.192173660081467901e+01,-3.290559578825321019e+00,5.203069734168907168e+00,1.300409951648157980e+00,4.099516481579357219e-04,8.000221098164638533e+01,0.000000000000000000e+00
1.240000000000000000e+02,1.239999999999999991e+00,1.191573462050996035e+01,-3.317603591371860450e+00,5.210539135528465593e+00,1.299889339229124863e+00,1.106607708751816688e-04,7.999939769804045397e+01,0.000000000000000000e+00
