scenario,i,t,alpha,delta1,delta2,CL,s,sigma,flags
0.000000000000000000e+00,4.900000000000000000e+01,4.899999999999999911e-01,1.107243371717257219e+01,3.500336587147048206e-01,1.309288537748298786e+00,1.298358084402619461e+00,-1.641915597380583236e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e-01,1.108204028050493406e+01,2.363436066264363311e-01,1.404793126919775093e+00,1.300496228151902134e+00,4.962281519020894649e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.100000000000000000e+01,5.100000000000000089e-01,1.111813232418328923e+01,1.428518424399343456e-01,1.510203040749617642e+00,1.298356724037147636e+00,-1.643275962852408512e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.200000000000000000e+01,5.200000000000000178e-01,1.112678563279336785e+01,3.394578862267332020e-02,1.601160688836092971e+00,1.300500686109713699e+00,5.006861097136550143e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.300000000000000000e+01,5.300000000000000266e-01,1.116199690014725832e+01,-5.479998698746164909e-02,1.702135560890556842e+00,1.298355372164077703e+00,-1.644627835922340964e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.400000000000000000e+01,5.400000000000000355e-01,1.116972776594060512e+01,-1.591485430760333775e-01,1.788743819748607411e+00,1.300505143967450650e+00,5.051439674506053024e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.500000000000000000e+01,5.500000000000000444e-01,1.120408521625661002e+01,-2.433686052056746874e-01,1.885481521997404819e+00,1.298354048932740534e+00,-1.645951067259510125e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.600000000000000000e+01,5.600000000000000533e-01,1.121092344481196434e+01,-3.433753613613371725e-01,1.967929383053510506e+00,1.300509577710499798e+00,5.095777104997534224e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.700000000000000000e+01,5.700000000000000622e-01,1.124445324554529257e+01,-4.232801987600953719e-01,2.060618897158039253e+00,1.298352768597123230e+00,-1.647231402876814244e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.800000000000000000e+01,5.799999999999999600e-01,1.125042793440532840e+01,-5.191504231499415312e-01,2.139087285849148312e+00,1.300513970549730391e+00,5.139705497303470594e-04,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.900000000000000000e+01,5.899999999999999689e-01,1.128315580172120747e+01,-5.949409377735843663e-01,2.227909204162969115e+00,1.298351540685191541e+00,-1.648459314808503606e-03,1.038257838254937476e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.000000000000000000e+01,5.999999999999999778e-01,1.128812079000664248e+01,-6.860960160903003535e-01,2.301817001379057981e+00,1.300518311456675846e+00,5.183114566758018071e-04,1.079459690867759641e-01,0.000000000000000000e+00
